i, j, k, f
0.475000 0.900000 0.200000 0.000005
0.525000 0.900000 0.200000 0.000005
0.575000 0.900000 0.200000 0.000005
0.625000 0.900000 0.200000 0.000005
0.675000 0.900000 0.200000 0.000005
0.725000 0.900000 0.200000 0.000005
0.775000 0.900000 0.200000 0.000005
0.825000 0.900000 0.200000 0.000006
0.875000 0.900000 0.200000 0.000005
0.925000 0.900000 0.200000 -0.000006
0.975000 0.900000 0.200000 -0.000009
0.025000 0.950000 0.200000 0.000093
0.075000 0.950000 0.200000 -0.000020
0.125000 0.950000 0.200000 -0.000001
0.175000 0.950000 0.200000 0.000006
0.225000 0.950000 0.200000 0.000004
0.275000 0.950000 0.200000 0.000002
0.325000 0.950000 0.200000 0.000001
0.375000 0.950000 0.200000 0.000002
0.425000 0.950000 0.200000 0.000002
0.475000 0.950000 0.200000 0.000002
0.525000 0.950000 0.200000 0.000002
0.575000 0.950000 0.200000 0.000002
0.625000 0.950000 0.200000 0.000002
0.675000 0.950000 0.200000 0.000001
0.725000 0.950000 0.200000 0.000002
0.775000 0.950000 0.200000 0.000004
0.825000 0.950000 0.200000 0.000006
0.875000 0.950000 0.200000 -0.000001
0.925000 0.950000 0.200000 -0.000020
0.975000 0.950000 0.200000 0.000093
0.025000 1.000000 0.200000 0.000000
0.075000 1.000000 0.200000 0.000000
0.125000 1.000000 0.200000 0.000000
0.175000 1.000000 0.200000 0.000000
0.225000 1.000000 0.200000 0.000000
0.275000 1.000000 0.200000 0.000000
0.325000 1.000000 0.200000 0.000000
0.375000 1.000000 0.200000 0.000000
0.425000 1.000000 0.200000 0.000000
0.475000 1.000000 0.200000 0.000000
0.525000 1.000000 0.200000 0.000000
0.575000 1.000000 0.200000 0.000000
0.625000 1.000000 0.200000 0.000000
0.675000 1.000000 0.200000 0.000000
0.725000 1.000000 0.200000 0.000000
0.775000 1.000000 0.200000 0.000000
0.825000 1.000000 0.200000 0.000000
0.875000 1.000000 0.200000 0.000000
0.925000 1.000000 0.200000 0.000000
0.975000 1.000000 0.200000 0.000000
